Sample	Label
0	N
1	V
2	N
3	V
4	N
5	N
6	V
7	N
8	N
9	N
10	V
11	N
12	N
13	N
14	N
15	N
16	N
17	V
18	N
19	V
20	N
21	N
22	A
23	V
24	N
25	N
26	N
27	N
28	N
29	N
30	N
31	A
32	N
33	N
34	V
35	N
36	N
37	N
38	V
39	N
40	N
41	N
42	N
43	+
44	V
45	V
46	V
47	+
48	N
49	V
50	N
51	N
52	V
53	N
54	V
55	N
56	N
57	V
58	N
59	V
60	N
61	N
62	N
63	V
64	N
65	N
66	V
67	N
68	V
69	N
70	N
71	N
72	V
73	V
74	N
75	V
76	N
77	N
78	N
79	N
80	N
81	V
82	N
83	N
84	N
85	V
86	N
87	N
88	N
89	N
90	N
91	V
92	N
93	N
94	N
95	V
96	N
97	N
98	V
99	N
100	N
101	N
102	N
103	N
104	N
105	V
106	N
107	V
108	N
109	N
110	V
111	N
112	V
113	N
114	N
115	N
116	N
117	N
118	V
119	N
120	N
121	V
122	N
123	V
124	N
125	N
126	V
127	N
128	N
129	N
130	V
131	N
132	N
133	N
134	+
135	V
136	N
137	N
138	V
139	N
140	N
141	V
142	+
143	N
144	N
145	N
146	N
147	N
148	N
149	N
150	N
151	N
152	N
153	N
154	V
155	N
156	N
157	N
158	N
159	N
160	V
161	N
162	N
163	N
164	V
165	N
166	N
167	N
168	N
169	N
170	V
171	N
172	N
173	N
174	N
175	N
176	N
177	N
178	V
179	N
180	N
181	N
182	N
183	N
184	N
185	N
186	N
187	N
188	N
189	N
190	N
191	N
192	N
193	N
194	V
195	N
196	N
197	N
198	N
199	N
200	N
201	N
202	V
203	N
204	N
205	N
206	N
207	V
208	N
209	V
210	N
211	N
212	V
213	N
214	V
215	N
216	N
217	+
218	V
219	N
220	V
221	N
222	V
223	N
224	V
225	+
226	N
227	N
228	V
229	N
230	A
231	N
232	N
233	+
234	V
235	N
236	V
237	N
238	V
239	N
240	V
241	+
242	N
243	N
244	N
245	V
246	N
247	N
248	+
249	V
250	N
251	V
252	N
253	V
254	N
255	V
256	+
257	N
258	N
259	+
260	V
261	N
262	V
263	N
264	V
265	N
266	V
267	V
268	N
269	V
270	+
271	N
272	N
273	V
274	N
275	V
276	N
277	N
278	+
279	V
280	N
281	V
282	N
283	V
284	+
285	N
286	N
