Sample	Label
0	A
1	A
2	~
3	R
4	A
5	R
6	A
7	R
8	A
9	R
10	A
11	A
12	R
13	A
14	A
15	A
16	A
17	A
18	A
19	A
20	R
21	R
22	R
23	A
24	A
25	R
26	A
27	A
28	A
29	A
30	A
31	A
32	A
33	A
34	A
35	A
36	A
37	R
38	R
39	A
40	A
41	R
42	A
43	A
44	A
45	R
46	R
47	A
48	A
49	A
50	A
51	A
52	R
53	R
54	A
55	A
56	R
57	A
58	A
59	R
60	A
61	A
62	A
63	R
64	~
65	R
66	R
67	A
68	A
69	A
70	A
71	A
72	A
73	A
74	A
75	A
76	A
77	R
78	~
79	A
80	A
81	A
82	R
83	A
84	A
85	~
86	R
87	A
88	A
89	A
90	A
91	A
92	R
93	A
94	A
95	R
96	A
97	A
98	A
99	R
100	A
101	A
102	R
103	A
104	A
105	A
106	R
107	A
108	A
109	R
110	A
111	A
112	R
113	A
114	A
115	R
116	A
117	A
118	R
119	A
120	A
121	A
122	A
123	A
124	R
125	A
126	A
127	A
128	A
129	A
130	A
131	A
132	A
133	A
134	A
135	R
136	R
137	A
138	A
139	A
140	A
141	R
142	A
143	A
144	R
145	A
146	A
147	R
148	A
149	A
150	R
151	A
152	A
153	R
154	A
155	A
156	A
157	A
158	A
159	R
160	R
161	A
162	A
163	R
164	A
165	A
166	A
167	A
168	A
169	R
170	A
171	R
172	A
173	R
174	A
175	R
176	A
177	A
178	R
179	A
180	A
181	R
182	A
183	A
184	R
185	A
186	R
187	A
188	A
189	R
190	A
191	A
192	A
193	R
194	A
195	R
196	A
197	A
198	A
199	A
200	R
201	R
202	A
203	A
204	R
205	A
206	A
207	R
208	A
209	A
210	R
211	A
212	A
213	A
214	A
215	A
216	R
217	A
218	A
219	~
220	A
221	A
222	A
223	A
224	A
225	A
226	A
227	A
228	A
229	A
230	A
231	A
232	A
233	R
234	A
235	A
236	A
237	A
238	R
239	~
240	R
241	A
242	A
243	A
244	A
245	A
246	A
247	A
248	A
249	R
250	A
251	A
252	R
253	A
254	R
255	A
256	A
257	A
258	A
259	R
260	A
261	A
262	R
263	A
