Sample	Label
0	V
1	N
2	V
3	V
4	N
5	V
6	V
7	N
8	V
9	V
10	N
11	V
12	V
13	N
14	F
15	V
16	N
17	F
18	V
19	N
20	F
21	V
22	N
23	V
24	V
25	~
26	N
27	F
28	V
29	N
30	N
31	F
32	N
33	N
34	~
35	N
36	V
37	N
38	N
39	N
40	V
41	N
42	N
43	N
44	V
45	N
46	N
47	N
48	V
49	N
50	N
51	N
52	V
53	N
54	N
55	N
56	V
57	N
58	N
59	N
60	N
61	~
62	N
63	F
64	N
65	N
66	N
67	N
68	N
69	N
70	V
71	N
72	N
73	V
74	N
75	N
76	F
77	N
78	N
79	V
80	N
81	N
82	V
83	N
84	N
85	F
86	N
87	N
88	N
89	N
90	N
91	N
92	V
93	N
94	N
95	V
96	~
97	N
98	N
99	F
100	V
101	N
102	F
103	V
104	N
105	N
106	V
107	N
108	N
109	F
110	+
111	V
112	N
113	N
114	V
115	N
116	N
117	V
118	N
119	N
120	V
121	V
122	N
123	F
124	V
125	N
126	F
127	V
128	N
129	N
130	V
131	N
132	N
133	V
134	+
135	N
136	N
137	V
138	V
139	N
140	V
141	V
142	N
143	F
144	V
145	N
146	N
147	N
148	N
149	N
150	V
151	V
152	N
153	V
154	V
155	N
156	F
157	V
158	N
159	N
160	F
161	N
162	N
163	N
164	N
165	N
166	F
167	V
168	N
169	F
170	+
171	V
172	N
173	N
174	V
175	N
176	N
177	V
178	+
179	N
180	N
181	F
182	V
183	N
184	N
185	N
186	N
187	N
188	F
189	V
190	N
191	V
192	V
193	N
194	F
195	V
196	N
197	N
198	V
199	N
200	V
201	V
202	N
203	V
204	V
205	N
206	V
207	V
208	N
209	F
210	V
211	N
212	V
213	V
214	N
215	F
216	V
217	N
218	F
219	V
220	N
221	F
222	V
223	N
224	F
225	V
226	N
227	F
228	V
229	N
230	F
231	+
232	V
233	N
234	N
235	V
236	N
237	N
238	V
239	N
240	N
241	V
242	N
243	N
244	+
245	V
246	N
247	V
248	V
249	N
250	V
251	V
252	N
253	V
254	V
255	N
256	F
257	V
258	N
259	F
260	+
261	V
262	N
263	N
264	V
265	N
266	N
267	V
268	N
269	N
270	V
271	+
272	N
273	F
274	V
275	N
276	V
277	V
278	N
279	F
280	V
281	N
282	F
283	V
284	N
285	F
286	V
287	N
288	F
289	V
290	N
291	F
292	+
293	V
294	N
295	N
296	V
297	N
298	N
299	V
300	N
301	N
302	V
303	N
304	N
305	V
306	N
307	N
308	V
309	N
310	N
311	V
312	+
313	N
314	N
315	F
316	V
317	N
318	F
319	V
320	N
321	N
322	F
323	N
324	N
325	N
326	V
327	N
328	N
329	F
330	V
331	N
332	N
333	N
334	N
335	N
336	F
337	V
338	N
339	F
340	V
341	N
342	F
343	V
344	N
345	F
346	V
347	N
348	F
349	V
350	N
351	F
352	V
353	N
354	F
355	V
356	N
357	N
358	V
359	N
360	N
361	V
362	N
363	F
364	+
365	V
366	N
367	N
368	V
369	N
370	N
371	V
372	+
373	N
374	N
375	N
376	N
377	N
378	F
379	V
380	N
381	F
382	V
383	N
384	F
385	V
386	N
387	N
388	N
389	N
390	N
391	V
392	V
393	N
394	F
395	V
396	N
397	N
398	V
399	N
400	N
401	F
402	V
403	N
404	N
405	N
406	V
407	N
408	N
409	N
410	V
411	N
412	N
413	N
414	N
415	N
416	F
417	V
418	N
419	N
420	V
421	N
422	N
423	N
424	N
425	N
426	F
427	V
428	N
429	V
430	V
431	N
432	F
433	V
434	N
435	N
436	V
437	N
438	N
439	V
440	N
441	F
442	V
443	N
444	F
445	V
446	N
447	N
448	V
449	N
450	N
451	N
452	N
453	N
454	F
455	V
456	N
457	F
458	V
459	N
460	F
461	V
462	N
463	N
464	V
465	N
466	N
467	F
468	V
469	N
470	F
471	V
472	N
473	N
474	V
475	N
476	N
477	F
478	V
479	N
480	V
481	V
482	N
483	V
484	V
485	N
486	F
487	+
488	V
489	N
490	N
491	V
492	N
493	N
494	V
495	N
496	N
497	V
498	N
499	F
500	V
501	N
502	F
503	V
504	N
505	N
506	V
507	+
508	N
509	N
510	F
511	V
512	N
513	F
514	V
515	N
516	N
517	V
518	N
519	N
520	V
521	V
522	N
523	V
524	V
525	N
526	F
527	V
528	N
529	N
530	N
531	N
532	N
533	V
534	V
535	N
536	V
537	V
538	N
539	F
540	V
541	N
542	N
543	V
544	N
545	N
546	V
547	N
548	F
549	V
550	N
551	F
552	+
553	V
554	N
555	N
556	V
557	N
558	N
559	V
560	N
561	N
562	V
563	N
564	N
565	V
566	+
567	N
568	N
569	F
570	N
571	N
572	V
573	N
574	N
575	N
576	N
577	F
578	V
579	N
580	N
581	V
582	N
583	N
584	N
585	N
586	N
587	F
588	V
589	N
590	F
591	V
592	N
